Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,33.70984766253444,34.576037611084224,33.68837273628932,34.03914260864258,35687300,0.0,0
2007-01-04,34.21811773341189,34.35413292197771,33.87450515788088,34.203800201416016,17073000,0.0,0
2007-01-05,34.00335136332565,34.218108825778266,33.752801445595814,33.92460632324219,13556900,0.0,0
2007-01-08,33.58098875769622,33.86733381817999,33.57383136003912,33.645416259765625,16396400,0.0,0
2007-01-09,33.64542134897486,34.12504625742606,33.64542134897486,33.92460632324219,14643200,0.0,0
2007-01-10,33.68121585336163,34.08925587608287,33.29465075895535,33.845863342285156,13348100,0.0,0
2007-01-11,33.838711102628125,34.16800613068406,33.79575850865957,34.07494354248047,14823200,0.0,0
2007-01-12,34.08925572797707,34.44002836340458,33.79575320885994,34.34696578979492,13910800,0.0,0
2007-01-16,34.311174759848676,34.704897268098485,34.21095478292577,34.58320236206055,14482400,0.0,0
2007-01-17,34.59035418511015,34.65478169285831,34.42570671659578,34.504451751708984,11305400,0.0,0
2007-01-18,34.50445236650711,34.91964974433497,34.41854993157534,34.640464782714844,13656200,0.0,0
2007-01-19,34.712057398329875,34.891022423060654,34.497297184021285,34.58320236206055,11960300,0.0,0
2007-01-22,34.47582945619992,34.55457452045602,34.07494673398255,34.33265686035156,12719900,0.0,0
2007-01-23,34.20378784729842,34.46865799736827,33.97471287968435,34.22526550292969,11274300,0.0,0
2007-01-24,34.411397053883135,34.862389711193636,34.35412966212372,34.7979621887207,13491600,0.0,0
2007-01-25,34.79796492958277,34.8194398618353,34.425717296062395,34.46866989135742,9760100,0.0,0
2007-01-26,34.39705796763565,34.618975457259936,33.981860762504944,34.125030517578125,11058400,0.0,0
2007-01-29,34.46866018741312,34.46866018741312,34.00335009381368,34.096412658691406,9537000,0.0,0
2007-01-30,34.18231845009685,34.24674596583123,33.58099588017247,33.845863342285156,16342400,0.0,0
2007-01-31,33.78858868978397,34.33264102614271,33.674051212087974,34.13935852050781,14894300,0.0,0
2007-02-01,34.010517615656696,34.418560450564144,33.96040761906613,34.203800201416016,13235400,0.0,0
2007-02-02,34.18231727219958,34.66194219330286,34.1035722300389,34.41855239868164,12611700,0.0,0
2007-02-05,34.67625802542324,35.00555570660161,34.66194049747729,34.73352813720703,14214900,0.0,0
2007-02-06,34.79796418960837,34.912501710502866,34.59036407961526,34.7764892578125,8961900,0.0,0
2007-02-07,34.64047407433223,34.89818417904232,34.561729016694166,34.7764892578125,10084300,0.0,0
2007-02-08,34.61899482084879,34.790799715348186,34.45434732579122,34.58320236206055,10791600,0.0,0
2007-02-09,34.62615181547246,34.74784945087718,34.12504920592681,34.33980941772461,12406000,0.0,0
